player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
577345,T20,12,9,3,250,72,41.66,210,119.04,0,2,20,9,2,0
24850,First-Class,7,11,0,127,28,11.54,644,19.72,0,0,14,0,4,0
24850,List A,6,6,0,42,12,7,92,45.65,0,0,2,1,3,0
519071,First-Class,2,3,1,21,13,10.5,21,100,0,0,5,0,1,0
519071,T20,8,3,1,5,4,2.5,7,71.42,0,0,0,0,2,0
233054,T20,1,1,0,1,1,1,5,20,0,0,0,0,0,0
1119570,Women's T20I,4,4,0,42,20,10.5,87,48.27,0,0,0,0,0,0
519070,ODI,40,39,4,1593,125,45.51,1993,79.92,2,12,121,35,22,0
519070,T20I,41,39,9,979,100*,32.63,765,127.97,1,7,75,36,27,0
519070,First-Class,38,68,6,1255,192,20.24,2844,44.12,1,3,149,13,24,2
519070,List A,97,90,12,3010,125,38.58,3845,78.28,2,23,224,66,65,0
519070,T20,96,80,14,1529,100*,23.16,1275,119.92,1,8,115,58,44,5
1119576,Women's T20I,47,23,12,126,19*,11.45,163,77.3,0,0,12,2,20,0
948437,ODI,7,7,0,209,83,29.85,317,65.93,0,2,18,2,3,0
948437,List A,8,8,0,217,83,27.12,332,65.36,0,2,18,2,3,0
948437,T20,3,2,0,43,31,21.5,40,107.5,0,0,1,3,1,0
482478,ODI,28,24,6,441,60*,24.5,502,87.84,0,3,23,12,11,0
482478,T20I,38,21,9,241,44,20.08,232,103.87,0,0,11,4,15,0
482478,First-Class,45,76,9,1571,158,23.44,2528,62.14,1,11,195,25,15,0
482478,List A,87,72,16,1445,126*,25.8,1676,86.21,2,5,98,36,34,0
482478,T20,65,38,16,484,82*,22,438,110.5,0,1,28,11,23,0
321902,First-Class,5,6,2,45,14*,11.25,68,66.17,0,0,8,1,0,0
321902,List A,5,4,3,18,11*,18,18,100,0,0,2,1,1,0
321902,T20,22,6,2,51,21*,12.75,45,113.33,0,0,1,5,4,0
1198334,Women's T20I,27,13,4,75,25,8.33,110,68.18,0,0,5,0,10,2
1119573,Women's T20I,59,54,12,690,57,16.42,813,84.87,0,2,63,7,17,4
596664,ODI,33,27,2,662,75*,26.48,783,84.54,0,2,64,10,39,4
596664,T20I,35,26,4,245,26,11.13,265,92.45,0,0,18,4,25,6
596664,First-Class,25,48,3,664,65,14.75,1692,39.24,0,2,97,1,38,7
596664,List A,69,62,5,1312,75*,23.01,1792,73.21,0,6,126,16,69,7
596664,T20,55,42,8,482,44,14.17,504,95.63,0,0,41,9,37,13
524072,First-Class,9,16,5,218,34,19.81,318,68.55,0,0,33,4,1,0
524072,List A,7,5,2,34,22*,11.33,57,59.64,0,0,4,0,3,0
524072,T20,8,3,1,6,6,3,7,85.71,0,0,1,0,2,0
446860,ODI,4,2,1,4,3,4,19,21.05,0,0,0,0,2,0
446860,T20I,10,4,1,20,13,6.66,35,57.14,0,0,0,0,3,0
446860,First-Class,9,17,3,151,33,10.78,372,40.59,0,0,25,0,5,0
446860,List A,27,21,8,239,58,18.38,358,66.75,0,1,20,6,8,0
446860,T20,24,14,5,112,27*,12.44,139,80.57,0,0,7,3,6,0
233055,First-Class,4,8,0,47,16,5.87,230,20.43,0,0,4,0,0,0
233055,List A,1,1,0,17,17,17,33,51.51,0,0,3,0,0,0
233055,T20,1,1,1,1,1*,,1,100,0,0,0,0,1,0
1158417,Women's T20I,41,13,8,19,5*,3.8,36,52.77,0,0,1,0,7,0
24794,ODI,3,2,0,45,41,22.5,65,69.23,0,0,4,1,1,0
24794,First-Class,1,2,0,29,16,14.5,41,70.73,0,0,,,0,0
24794,List A,13,11,0,186,61,16.9,270,68.88,0,1,,,11,1
1119580,Women's T20I,4,1,0,0,0,0,1,0,0,0,0,0,0,0
1158416,Women's T20I,8,2,1,6,4*,6,17,35.29,0,0,0,0,2,0
24796,ODI,6,6,0,132,52,22,220,60,0,1,11,0,3,0
24796,First-Class,3,6,0,210,90,35,442,47.51,0,2,,,6,0
24796,List A,31,31,1,837,83,27.9,1480,56.55,0,5,,,15,0
261747,First-Class,73,112,41,1123,51,15.81,2409,46.61,0,1,,,45,0
261747,List A,94,70,31,456,64,11.69,581,78.48,0,1,24,14,24,0
261747,T20,40,18,12,142,25*,23.66,113,125.66,0,0,6,7,17,0
24807,ODI,5,4,1,27,24*,9,51,52.94,0,0,3,0,1,0
24807,First-Class,24,38,4,748,163*,22,1709,43.76,1,2,,,18,0
24807,List A,67,53,13,584,54*,14.6,,,0,1,,,17,0
24841,ODI,6,6,1,82,27,16.4,135,60.74,0,0,3,1,3,0
24841,First-Class,21,37,4,619,64,18.75,1418,43.65,0,4,,,16,0
24841,List A,64,61,9,1111,81*,21.36,1921,57.83,0,4,,,16,0
541991,ODI,8,8,0,299,136,37.37,337,88.72,1,0,27,10,0,0
541991,T20I,18,18,1,377,101*,22.17,306,123.2,1,0,31,21,8,2
541991,First-Class,39,74,4,1416,102,20.22,2973,47.62,1,5,173,15,68,5
541991,List A,70,66,6,1520,148,25.33,1855,81.94,2,4,127,42,50,4
541991,T20,51,45,7,697,101*,18.34,580,120.17,1,1,59,32,30,11
574638,First-Class,1,2,0,15,15,7.5,52,28.84,0,0,2,0,0,0
574638,List A,3,3,0,50,23,16.66,92,54.34,0,0,3,0,0,0
574638,T20,1,1,1,23,23*,,40,57.49,0,0,1,0,0,0
1178065,ODI,16,16,1,313,59,20.86,467,67.02,0,1,38,6,8,0
1178065,T20I,5,5,0,98,66,19.6,84,116.66,0,1,8,5,1,0
1178065,List A,18,18,1,398,70,23.41,555,71.71,0,2,50,8,8,0
1178065,T20,5,5,0,98,66,19.6,84,116.66,0,1,8,5,1,0
1256933,T20I,2,0,0,0,-,,0,,0,0,0,0,0,0
1256933,List A,3,3,0,57,46,19,96,59.37,0,0,1,0,0,0
1256933,T20,5,1,0,3,3,3,7,42.85,0,0,0,0,0,0
1071473,ODI,32,29,5,718,73,29.91,962,74.63,0,6,52,9,17,0
1071473,T20I,22,17,2,165,28,11,167,98.8,0,0,14,3,8,0
1071473,First-Class,1,2,0,8,8,4,28,28.57,0,0,1,0,3,0
1071473,List A,37,34,5,873,73,30.1,1195,73.05,0,8,68,10,18,1
1071473,T20,34,27,4,358,74*,15.56,303,118.15,0,1,26,15,9,0
596667,First-Class,6,11,0,68,23,6.18,271,25.09,0,0,8,0,1,0
596667,List A,2,2,1,6,4*,6,14,42.85,0,0,0,0,0,0
596667,T20,3,3,0,19,9,6.33,28,67.85,0,0,1,0,1,0
