player_id,match_format,matches,innings,balls,runs,wickets,best_bowling_innings,best_bowling_match,average,economy,strike_rate,four_wicket_hauls,five_wicket_hauls,ten_wicket_hauls
960815,,14,14,572,379,16,3/16,3/16,23.68,3.97,35.7,0,0,0
960815,,8,8,150,176,3,1/8,1/8,58.66,7.04,50,0,0,0
29970,First-Class,22,,18,19,0,-,-,,6.33,,0,0,0
29970,List A,4,,0,0,0,-,-,,,,0,0,0
1175488,First-Class,12,0,0,0,0,-,-,,,,0,0,0
1175488,List A,5,0,0,0,0,-,-,,,,0,0,0
1175488,T20,16,0,0,0,0,-,-,,,,0,0,0
1130300,First-Class,12,0,0,0,0,-,-,,,,0,0,0
1130300,List A,29,0,0,0,0,-,-,,,,0,0,0
1130300,T20,14,0,0,0,0,-,-,,,,0,0,0
54257,,1,2,36,16,0,-,-,,2.66,,0,0,0
54257,,2,1,24,21,0,-,-,,5.25,,0,0,0
29986,First-Class,8,,12,12,0,-,-,,6,,0,0,0
29986,List A,9,,24,35,1,1/35,1/35,35,8.75,24,0,0,0
29990,Tests,13,1,18,4,0,-,-,,1.33,,0,0,0
29990,ODI,125,0,0,0,0,-,-,,,,0,0,0
29990,First-Class,186,,1484,715,20,3/4,,35.75,2.89,74.2,,0,0
29990,List A,269,,1166,1009,33,4/23,4/23,30.57,5.19,35.3,2,0,0
29990,T20,75,0,0,0,0,-,-,,,,0,0,0
53917,,7,7,206,98,5,3/18,3/18,19.6,2.85,41.2,0,0,0
53917,,78,17,385,286,8,3/31,3/31,35.75,4.45,48.1,0,0,0
53917,,1,1,24,28,0,-,-,,7,,0,0,0
