player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
296597,ODI,25,22,0,616,102,28,703,87.62,1,3,76,3,10,0
296597,,17,17,0,463,59,27.23,361,128.25,0,2,47,14,7,0
296597,First-Class,200,331,25,12052,240,39.38,19408,62.09,28,50,1800,55,183,0
296597,List A,148,138,7,5199,190,39.68,5348,97.21,10,25,604,40,57,0
296597,T20,350,339,37,9637,129*,31.91,7082,136.07,5,59,1069,252,185,0
22189,Tests,2,3,2,46,36,46,216,21.29,0,0,5,0,0,0
22189,First-Class,547,920,79,25171,202,29.92,,,34,142,,,240,0
1037701,First-Class,41,50,26,229,47,9.54,524,43.7,0,0,37,2,10,0
1037701,List A,10,8,2,31,8,5.16,61,50.81,0,0,2,0,1,0
22192,Tests,27,38,15,308,66,13.39,,,0,1,,8,15,0
22192,First-Class,426,525,130,7590,129,19.21,,,4,26,,,288,0
22251,Tests,2,4,0,16,7,4,55,29.09,0,0,1,0,1,0
22251,First-Class,266,265,69,2527,114,12.89,,,1,4,,,232,0
22559,First-Class,164,246,26,5904,200,26.83,9206,64.13,5,33,,,54,0
22559,List A,140,116,15,2060,68,20.39,,,0,5,,,45,0
22559,T20,144,107,32,1359,62,18.12,1099,123.65,0,4,105,43,38,0
22256,First-Class,212,350,29,12455,315,38.8,,,31,58,,,91,0
22256,List A,114,110,9,2751,102*,27.23,,,1,21,,,21,0
22256,T20,18,15,0,288,56,19.2,251,114.74,0,1,34,5,5,0
22258,Tests,5,9,0,132,49,14.66,,,0,0,,0,2,0
22258,First-Class,391,607,32,12513,228,21.76,,,19,48,,,353,0
53866,,2,1,1,6,6*,,,,0,0,,,1,0
53866,,2,1,1,2,2*,,,,0,0,,,0,0
23506,First-Class,148,236,16,6880,123,31.27,14336,47.99,9,37,878,48,98,0
23506,List A,90,85,8,2532,109*,32.88,2942,86.06,2,18,214,35,32,0
23506,T20,133,124,25,2597,64,26.23,2207,117.67,0,14,208,52,42,0
53888,,3,2,1,14,7*,14,,,0,0,,,1,0
22274,First-Class,223,377,39,12197,275*,36.08,,,28,51,,,155,0
22274,List A,285,255,40,6269,117,29.15,,,3,37,,,75,0
22274,T20,82,75,11,1397,74*,21.82,1203,116.12,0,4,135,31,10,0
22276,Tests,3,4,0,128,52,32,,,0,1,,2,5,0
22276,First-Class,469,788,110,17650,152*,26.03,,,13,92,,,697,0
22276,List A,72,68,7,1218,79,19.96,,,0,4,,,32,0
1046777,First-Class,3,6,1,103,64,20.6,212,48.58,0,1,12,0,1,0
1046777,List A,10,7,3,71,23,17.75,109,65.13,0,0,4,3,3,0
1046777,T20,14,9,3,29,19*,4.83,35,82.85,0,0,2,1,3,0
22280,First-Class,264,422,36,11159,139,28.9,,,15,55,,,707,56
22280,List A,205,166,32,2736,118*,20.41,,,2,7,,,184,45
22280,T20,136,106,23,1534,69*,18.48,1253,122.42,0,2,159,26,53,30
22283,Tests,11,18,3,784,102,52.26,,,1,7,,0,6,0
22283,First-Class,245,427,32,12145,226,30.74,,,21,55,,,102,0
22285,First-Class,25,37,3,808,71,23.76,,,0,8,,,11,0
22285,List A,94,82,14,1498,72,22.02,,,0,7,,,26,0
22292,Tests,5,6,1,40,21,8,93,43.01,0,0,7,0,3,0
22292,First-Class,163,157,47,928,44,8.43,,,0,0,,,51,0
22292,List A,118,60,19,259,21*,6.31,,,0,0,,,23,0
22290,Tests,7,13,0,487,117,37.46,,,1,3,,1,1,0
22290,First-Class,385,642,51,17783,219,30.08,,,29,87,,,169,0
901657,First-Class,3,6,0,30,19,5,126,23.8,0,0,4,0,2,0
901657,List A,12,12,0,215,37,17.91,230,93.47,0,0,36,4,2,0
901657,T20,25,25,4,442,54,21.04,331,133.53,0,2,38,19,11,0
22301,Tests,5,9,1,129,39,16.12,316,40.82,0,0,8,0,1,0
22301,First-Class,138,230,17,8575,168*,40.25,,,23,43,,,72,0
22301,List A,160,153,13,4059,136,28.99,,,2,27,,,34,0
22301,T20,18,15,0,351,50,23.4,279,125.8,0,2,45,7,4,0
22306,First-Class,248,425,22,13876,235*,34.43,,,29,77,,,226,0
22306,List A,324,318,13,9238,131,30.28,,,10,59,,,78,0
22306,T20,2,2,0,8,5,4,16,50,0,0,0,0,0,0
53890,,3,3,0,56,36,18.66,,,0,0,,,2,0
53890,,7,5,1,39,29,9.75,53,73.58,0,0,5,0,3,0
22288,Tests,28,41,8,653,66,19.78,,,0,2,,14,12,0
22288,First-Class,412,527,71,7333,79,16.08,,,0,18,,,257,0
22288,List A,4,4,0,29,19,7.25,,,0,0,,,0,0
782035,First-Class,7,9,4,97,32*,19.4,468,20.72,0,0,6,0,1,0
782035,List A,10,2,1,0,0*,0,2,0,0,0,0,0,2,0
782035,T20,1,1,0,1,1,1,3,33.33,0,0,0,0,0,0
22311,Tests,15,28,2,622,132*,23.92,,,1,3,,0,3,0
22311,First-Class,521,875,75,29028,244,36.28,,,60,149,,,183,0
22319,Tests,2,4,0,4,4,1,,,0,0,0,0,0,0
22319,First-Class,344,454,119,3838,54*,11.45,,,0,3,,,118,0
22314,Tests,1,1,0,7,7,7,,,0,0,,0,1,0
22314,First-Class,255,445,44,5507,123,13.73,,,1,11,,,195,0
22550,First-Class,8,8,4,24,11,6,125,19.2,0,0,,,0,0
22550,List A,5,3,1,2,2,1,,,0,0,0,0,2,0
22550,T20,2,2,1,1,1*,1,3,33.33,0,0,0,0,1,0
22317,First-Class,146,238,26,7776,201*,36.67,,,15,41,,,128,5
22317,List A,177,162,25,3363,100*,24.54,,,1,15,,,135,11
22317,T20,2,1,0,26,26,26,30,86.66,0,0,1,1,0,0
22322,Tests,37,66,6,2569,195,42.81,,,6,12,,8,12,0
22322,First-Class,592,906,107,34101,251*,42.67,,,76,176,,,212,0
23510,First-Class,51,69,36,411,54,12.45,1954,21.03,0,1,,,12,0
23510,List A,22,8,3,24,8,4.8,57,42.1,0,0,,,3,0
23510,T20,4,2,2,11,11*,,13,84.61,0,0,1,0,0,0
22333,Tests,3,5,0,25,13,5,82,30.48,0,0,3,0,1,0
22333,ODI,4,2,0,4,4,2,23,17.39,0,0,0,0,0,0
22333,First-Class,266,297,109,2037,51,10.83,,,0,1,,,71,0
22333,List A,252,107,40,427,31*,6.37,,,0,0,,,39,0
22329,Tests,15,24,4,810,137*,40.5,,,2,4,,0,17,0
22329,First-Class,484,753,87,20361,170*,30.57,,,32,108,,,464,0
22328,Tests,4,6,1,167,82*,33.4,352,47.44,0,1,18,1,1,0
22328,ODI,1,0,0,0,-,,0,,0,0,0,0,0,0
22328,First-Class,308,459,49,10939,161,26.68,,,11,50,,,156,0
22328,List A,374,296,61,5398,130,22.97,,,2,20,,,98,0
53867,,13,24,2,397,70,18.04,,,0,1,,,7,0
53867,,28,25,5,593,54*,29.65,,,0,4,,,3,0
22340,Tests,23,37,3,879,116,25.85,,,2,3,,2,8,0
22340,First-Class,468,753,109,25670,257,39.86,,,55,132,,,295,0
53868,,7,11,1,289,70,28.9,,,0,3,,,1,0
53868,,23,22,6,768,107*,48,,,1,5,,,3,0
212709,,7,4,2,1,1,0.5,33,3.03,0,0,0,0,1,0
748793,First-Class,63,101,4,2344,168,24.16,5456,42.96,2,11,313,4,52,0
748793,List A,29,28,4,764,105*,31.83,1032,74.03,2,4,62,7,10,0
748793,T20,69,62,10,1455,71,27.98,1120,129.91,0,6,115,43,25,0
22349,Tests,1,2,0,4,4,2,,,0,0,,0,2,0
22349,First-Class,370,641,58,14465,243*,24.81,,,14,60,,,229,10
22355,First-Class,171,265,43,5075,115*,22.86,,,2,21,,,73,0
22355,List A,223,176,46,2582,82,19.86,,,0,8,,,32,0
22355,T20,24,18,2,152,20,9.5,142,107.04,0,0,14,3,3,0
22357,Tests,2,4,0,47,38,11.75,,,0,0,,1,2,0
22357,First-Class,417,679,46,12485,112,19.72,,,2,59,,,377,0
22361,Tests,1,2,1,3,3*,3,40,7.5,0,0,0,0,0,0
22361,ODI,1,1,0,15,15,15,10,150,0,0,2,0,0,0
22361,First-Class,376,628,81,21099,253*,38.57,,,46,101,,,227,0
22361,List A,377,348,43,9381,127,30.75,,,8,58,,,108,0
22363,ODI,2,2,0,22,17,11,44,50,0,0,2,0,0,0
22363,First-Class,318,510,78,14289,203,33.07,,,24,67,,,111,0
22363,List A,322,282,42,6192,117,25.8,,,4,28,,,76,0
350126,First-Class,177,292,21,9804,258,36.17,20579,47.64,23,42,1363,58,98,0
350126,List A,44,37,1,778,88,21.61,925,84.1,0,5,105,17,14,0
350126,T20,43,38,4,557,66,16.38,414,134.54,0,3,56,23,15,0
22365,ODI,9,7,0,141,39,20.14,253,55.73,0,0,8,2,7,0
22365,First-Class,196,306,22,9314,224,32.79,,,18,46,,,134,0
22365,List A,267,250,26,5722,201,25.54,,,4,27,,,77,0
22365,T20,4,4,0,63,23,15.75,58,108.62,0,0,7,1,2,0
53722,,3,5,0,34,19,6.8,,,0,0,,,3,0
53869,,11,20,5,476,87,31.73,,,0,3,,,13,9
857965,First-Class,2,4,0,49,22,12.25,150,32.66,0,0,8,0,1,0
857965,List A,1,1,0,8,8,8,23,34.78,0,0,0,0,0,0
857965,T20,1,1,0,24,24,24,16,150,0,0,5,0,0,0
210777,First-Class,7,8,3,46,32,9.2,154,29.87,0,0,5,0,1,0
210777,List A,8,4,3,31,17,31,33,93.93,0,0,1,0,2,0
214265,Tests,5,9,1,193,59,24.12,453,42.6,0,1,33,0,1,0
214265,First-Class,224,374,28,12409,254,35.86,24647,50.34,27,56,1839,13,131,0
